group,age,Female,Male
south_sudanese,15-19 years,566,636
south_sudanese,20-24 years,397,416
south_sudanese,25-29 years,409,370
south_sudanese,30-34 years,412,409
south_sudanese,35-39 years,330,398
south_sudanese,40-44 years,282,335
south_sudanese,45-49 years,213,213
south_sudanese,50-54 years,134,181
south_sudanese,55-59 years,59,78
south_sudanese,60-64 years,33,30
vietnamese,15-19 years,12015,12075
vietnamese,20-24 years,15373,13891
vietnamese,25-29 years,14151,11306
vietnamese,30-34 years,14252,10254
vietnamese,35-39 years,12554,8939
vietnamese,40-44 years,12776,8833
vietnamese,45-49 years,11082,8915
vietnamese,50-54 years,9266,8920
vietnamese,55-59 years,9303,8864
vietnamese,60-64 years,7021,6148
